license_id,brand_name,ingredient,drugbank_id,disease_name,disease_id,source,is_new
MAL20026054AZ,Nuwiq 500IU Powder for Solution for Injection,SIMOCTOCOG ALFA,DB09108,symptomatic form of hemophilia in female carriers,,TxGNN Knowledge Graph,
MAL20026054AZ,Nuwiq 500IU Powder for Solution for Injection,SIMOCTOCOG ALFA,DB09108,hemophilia,,TxGNN Knowledge Graph,
MAL20026048AZ,Airtal 100mg Film-coated Tablet,ACECLOFENAC,DB06736,osteoarthritis susceptibility,,TxGNN Knowledge Graph,
MAL20026048AZ,Airtal 100mg Film-coated Tablet,ACECLOFENAC,DB06736,rheumatoid arthritis,,TxGNN Knowledge Graph,
MAL20026048AZ,Airtal 100mg Film-coated Tablet,ACECLOFENAC,DB06736,arthropathy,,TxGNN Knowledge Graph,
MAL20026048AZ,Airtal 100mg Film-coated Tablet,ACECLOFENAC,DB06736,ankylosing spondylitis,,TxGNN Knowledge Graph,
MAL20026048AZ,Airtal 100mg Film-coated Tablet,ACECLOFENAC,DB06736,frozen shoulder,,TxGNN Knowledge Graph,
MAL20026048AZ,Airtal 100mg Film-coated Tablet,ACECLOFENAC,DB06736,osteoarthritis,,TxGNN Knowledge Graph,
MAL20026048AZ,Airtal 100mg Film-coated Tablet,ACECLOFENAC,DB06736,"spondyloarthropathy, susceptibility to",,TxGNN Knowledge Graph,
MAL20026040AZ,Lonsurf Film-coated Tablet 20 mg/8.19 mg (Trifluridine/Tipiracil),TRIFLURIDINE,DB00432,squamous cell carcinoma of colon,,TxGNN Knowledge Graph,
MAL20026040AZ,Lonsurf Film-coated Tablet 20 mg/8.19 mg (Trifluridine/Tipiracil),TRIFLURIDINE,DB00432,colorectal cancer,,TxGNN Knowledge Graph,
MAL20026040AZ,Lonsurf Film-coated Tablet 20 mg/8.19 mg (Trifluridine/Tipiracil),TRIFLURIDINE,DB00432,herpes simplex virus keratitis,,TxGNN Knowledge Graph,
MAL20026040AZ,Lonsurf Film-coated Tablet 20 mg/8.19 mg (Trifluridine/Tipiracil),TRIFLURIDINE,DB00432,colonic neoplasm,,TxGNN Knowledge Graph,
MAL20026040AZ,Lonsurf Film-coated Tablet 20 mg/8.19 mg (Trifluridine/Tipiracil),TRIFLURIDINE,DB00432,malignant colon neoplasm,,TxGNN Knowledge Graph,
MAL20026041ARZ,Erleada 60mg Film-Coated Tablets,APALUTAMIDE,DB11901,prostate cancer,,TxGNN Knowledge Graph,
MAL20026041ARZ,Erleada 60mg Film-Coated Tablets,APALUTAMIDE,DB11901,familial prostate carcinoma,,TxGNN Knowledge Graph,
MAL20026041ARZ,Erleada 60mg Film-Coated Tablets,APALUTAMIDE,DB11901,prostate carcinoma,,TxGNN Knowledge Graph,
MAL05023182ACZ,Selsun 2.5% Suspension Treatment,SELENIUM SULFIDE,DB00971,seborrheic keratosis,,TxGNN Knowledge Graph,
MAL05023182ACZ,Selsun 2.5% Suspension Treatment,SELENIUM SULFIDE,DB00971,seborrheic dermatitis,,TxGNN Knowledge Graph,
MAL05023182ACZ,Selsun 2.5% Suspension Treatment,SELENIUM SULFIDE,DB00971,pityriasis versicolor,,TxGNN Knowledge Graph,
MAL05023182ACZ,Selsun 2.5% Suspension Treatment,SELENIUM SULFIDE,DB00971,pityriasis simplex,,TxGNN Knowledge Graph,
MAL25036004ACZ,Hidroferol 0.266mg Soft Capsules (Calcifediol monohydrate),CALCIFEDIOL,DB00146,hypophosphatemia (disease),,TxGNN Knowledge Graph,
MAL25036004ACZ,Hidroferol 0.266mg Soft Capsules (Calcifediol monohydrate),CALCIFEDIOL,DB00146,hypercalcemia disease,,TxGNN Knowledge Graph,
MAL25036004ACZ,Hidroferol 0.266mg Soft Capsules (Calcifediol monohydrate),CALCIFEDIOL,DB00146,phosphorus metabolism disease,,TxGNN Knowledge Graph,
MAL25036004ACZ,Hidroferol 0.266mg Soft Capsules (Calcifediol monohydrate),CALCIFEDIOL,DB00146,nephrocalcinosis,,TxGNN Knowledge Graph,
MAL25036004ACZ,Hidroferol 0.266mg Soft Capsules (Calcifediol monohydrate),CALCIFEDIOL,DB00146,rickets (disease),,TxGNN Knowledge Graph,
MAL25036004ACZ,Hidroferol 0.266mg Soft Capsules (Calcifediol monohydrate),CALCIFEDIOL,DB00146,osteomalacia (disease),,TxGNN Knowledge Graph,
MAL25036004ACZ,Hidroferol 0.266mg Soft Capsules (Calcifediol monohydrate),CALCIFEDIOL,DB00146,renal osteodystrophy,,TxGNN Knowledge Graph,
MAL25036160AZ,TENEX-Teriflunomide Film Coated Tablets 14 mg,TERIFLUNOMIDE,DB08880,multiple sclerosis,,TxGNN Knowledge Graph,
MAL25036138ACRZ,Strensiq 100mg/ml Solution for Injection,ASFOTASE ALFA,DB09105,hypophosphatasia,,TxGNN Knowledge Graph,
MAL05032541AZ,Trenlin SR Tablet 400mg,PENTOXIFYLLINE,DB00806,peripheral arterial disease,,TxGNN Knowledge Graph,
MAL05032541AZ,Trenlin SR Tablet 400mg,PENTOXIFYLLINE,DB00806,peripheral vascular disease,,TxGNN Knowledge Graph,
MAL05032541AZ,Trenlin SR Tablet 400mg,PENTOXIFYLLINE,DB00806,intermittent vascular claudication,,TxGNN Knowledge Graph,
MAL20102009ACRZ,VOLIBRIS 10 MG FILM COATED TABLET,AMBRISENTAN,DB06403,pulmonary arterial hypertension,,TxGNN Knowledge Graph,
MAL20081739ACRZ,ERAXIS 100MG FOR INJECTION,ANIDULAFUNGIN,DB00362,candidemia,,TxGNN Knowledge Graph,
MAL20081739ACRZ,ERAXIS 100MG FOR INJECTION,ANIDULAFUNGIN,DB00362,esophageal candidiasis,,TxGNN Knowledge Graph,
MAL15045085ACRZ,"Adcetris 50mg, powder for concentrate for solution for infusion",BRENTUXIMAB VEDOTIN,DB08870,Hodgkin's paragranuloma,,TxGNN Knowledge Graph,
MAL15045085ACRZ,"Adcetris 50mg, powder for concentrate for solution for infusion",BRENTUXIMAB VEDOTIN,DB08870,"classic Hodgkin lymphoma, lymphocyte-rich type",,TxGNN Knowledge Graph,
MAL15045085ACRZ,"Adcetris 50mg, powder for concentrate for solution for infusion",BRENTUXIMAB VEDOTIN,DB08870,classic Hodgkin lymphoma,,TxGNN Knowledge Graph,
MAL15045085ACRZ,"Adcetris 50mg, powder for concentrate for solution for infusion",BRENTUXIMAB VEDOTIN,DB08870,Hodgkins lymphoma,,TxGNN Knowledge Graph,
MAL15045085ACRZ,"Adcetris 50mg, powder for concentrate for solution for infusion",BRENTUXIMAB VEDOTIN,DB08870,obsolete Hodgkin's granuloma,,TxGNN Knowledge Graph,
MAL25046017AZ,Excarb Tablets 600mg,ESLICARBAZEPINE ACETATE,DB09119,partial motor epilepsy,,TxGNN Knowledge Graph,
MAL25046017AZ,Excarb Tablets 600mg,ESLICARBAZEPINE ACETATE,DB09119,partial epilepsy,,TxGNN Knowledge Graph,
MAL25046041XC,Remeco PEPTICON Advance Oral Suspension,POTASSIUM BICARBONATE,DB11098,potassium deficiency disease,,TxGNN Knowledge Graph,
MAL25046041XC,Remeco PEPTICON Advance Oral Suspension,POTASSIUM BICARBONATE,DB11098,dyspepsia,,TxGNN Knowledge Graph,
MAL25046041XC,Remeco PEPTICON Advance Oral Suspension,POTASSIUM BICARBONATE,DB11098,peptic esophagitis,,TxGNN Knowledge Graph,
MAL25046041XC,Remeco PEPTICON Advance Oral Suspension,POTASSIUM BICARBONATE,DB11098,esophagitis (disease),,TxGNN Knowledge Graph,
MAL25046041XC,Remeco PEPTICON Advance Oral Suspension,POTASSIUM BICARBONATE,DB11098,peptic ulcer disease,,TxGNN Knowledge Graph,
MAL25046041XC,Remeco PEPTICON Advance Oral Suspension,POTASSIUM BICARBONATE,DB11098,gastroesophageal reflux disease,,TxGNN Knowledge Graph,
MAL25046004ACZ,Rhopressa (netarsudil ophthalmic solution) 0.02%,NETARSUDIL,DB13931,open-angle glaucoma,,TxGNN Knowledge Graph,
MAL25046004ACZ,Rhopressa (netarsudil ophthalmic solution) 0.02%,NETARSUDIL,DB13931,ocular hypertension,,TxGNN Knowledge Graph,
MAL20046078ACRZ,XOFLUZA FILM-COATED TABLET 40MG,BALOXAVIR MARBOXIL,DB13997,"influenza, severe, susceptibility to",,TxGNN Knowledge Graph,
MAL20046078ACRZ,XOFLUZA FILM-COATED TABLET 40MG,BALOXAVIR MARBOXIL,DB13997,influenza,,TxGNN Knowledge Graph,
MAL20046087ARZ,AFSTYLA 250IU powder and solvent for solution for injection,LONOCTOCOG ALFA,DB13998,symptomatic form of hemophilia in female carriers,,TxGNN Knowledge Graph,
MAL20046087ARZ,AFSTYLA 250IU powder and solvent for solution for injection,LONOCTOCOG ALFA,DB13998,hemophilia,,TxGNN Knowledge Graph,
MAL15045158ARZ,ZYMAXID (gatifloxacin ophthalmic solution) 0.5%,GATIFLOXACIN,DB01044,Mycoplasma pneumoniae pneumonia,,TxGNN Knowledge Graph,
MAL15045158ARZ,ZYMAXID (gatifloxacin ophthalmic solution) 0.5%,GATIFLOXACIN,DB01044,bacterial pneumonia,,TxGNN Knowledge Graph,
MAL15045158ARZ,ZYMAXID (gatifloxacin ophthalmic solution) 0.5%,GATIFLOXACIN,DB01044,conjunctivitis,,TxGNN Knowledge Graph,
MAL15045158ARZ,ZYMAXID (gatifloxacin ophthalmic solution) 0.5%,GATIFLOXACIN,DB01044,acute contagious conjunctivitis,,TxGNN Knowledge Graph,
MAL15045158ARZ,ZYMAXID (gatifloxacin ophthalmic solution) 0.5%,GATIFLOXACIN,DB01044,streptococcal pneumonia,,TxGNN Knowledge Graph,
MAL15045158ARZ,ZYMAXID (gatifloxacin ophthalmic solution) 0.5%,GATIFLOXACIN,DB01044,pneumonia caused by chlamydia,,TxGNN Knowledge Graph,
MAL15045158ARZ,ZYMAXID (gatifloxacin ophthalmic solution) 0.5%,GATIFLOXACIN,DB01044,staphylococcus aureus infection,,TxGNN Knowledge Graph,
